# Alliant Tecnologia Ltda - AS275782
# RFC 8805 geofeed
# atualizado em 2026-08-18
38.224.234.0/24,BR,BR-SP,Sao Paulo,
2804:997c::/32,BR,BR-SP,Sao Paulo,
